idx,scheduled_t_rel_s,t_rel_s,latency_s,status,ttft_s,avg_tbt_s,worst_tbt_s,tokens_received,gen_chars,saw_done,finish_reason
68,9.404,9.404788366999128,1.5279919860004156,ok,0.058655192000514944,0.018598904354434977,0.026684413000111817,80,412,True,length
69,9.449,9.450076522000018,1.514949816999433,ok,0.054750835999584524,0.0184832316202729,0.02699331700023322,80,452,True,length
70,9.494,9.49430268299875,1.5068277310001577,ok,0.050237004999871715,0.018437541088616533,0.026994973999535432,80,460,True,length
71,9.538,9.53912122499969,1.5145104430011997,ok,0.06260250100058329,0.018378264987335614,0.026689100999647053,80,404,True,length
72,10.04,10.041029752999748,1.5526804720011569,ok,0.060457210000095074,0.018888560772153788,0.02663436400143837,80,404,True,length
73,10.061,10.062016579999181,1.5466043739997986,ok,0.058424562001164304,0.01883727786075206,0.02649007899890421,80,401,True,length
74,10.081,10.082221880998986,1.5462016749988834,ok,0.058755560999998124,0.0188281565063139,0.02669411500028218,80,369,True,length
75,10.101,10.101767542999369,1.5461288970000169,ok,0.06065614799990726,0.018803192417733584,0.026981190001606592,80,585,True,length
76,10.121,10.12149421399954,1.5448233780007286,ok,0.0624672690009902,0.018763612227844475,0.026635172000169405,80,367,True,length
77,10.141,10.141200025998842,1.5494897730004595,ok,0.056124839999029064,0.0189030747974875,0.026680756000132533,80,410,True,length
78,10.303,10.303231084999425,1.553357323000455,ok,0.054184230999453575,0.018976552582277196,0.026634305000698077,80,425,True,length
79,10.343,10.34408311199877,1.5500970819994109,ok,0.05188788899977226,0.018964367000011452,0.02699128899985226,80,480,True,length
80,10.383,10.383463360998576,1.5465120250009932,ok,0.059632611000779434,0.018820955025309755,0.026692414001445286,80,426,True,length
81,10.404,10.404174708999562,1.5446803539998655,ok,0.0583268099999259,0.01881429844305083,0.02699652299997979,80,318,True,length
82,10.424,10.42436454000017,1.541838254999675,ok,0.05427874000088195,0.018829558645560195,0.027292350001516752,80,432,True,length
83,10.464,10.464675204999367,1.5375775740012614,ok,0.054305966001265915,0.01877527208860188,0.026637032999133226,80,418,True,length
84,10.546,10.546430021999186,1.5511182099999132,ok,0.06860930600123538,0.018765615316451774,0.026692785999330226,80,318,True,length
85,10.566,10.56724295299864,1.5489104270000098,ok,0.061181987000964,0.018831701556958746,0.02668623599856801,80,418,True,length
86,10.707,10.707263680998949,1.5413583800000197,ok,0.056568857000456774,0.01879440113923091,0.02639600899965444,80,327,True,length
87,10.728,10.728409466999437,1.545116142000552,ok,0.05147441600092861,0.01890657044302166,0.026418536999699427,80,503,True,length
88,10.828,10.829724837998583,1.5569196290016407,ok,0.05914911800027767,0.01895879075949134,0.02641854799912835,80,432,True,length
89,10.889,10.89012433300013,1.5481747029989492,ok,0.05574533899925882,0.0188911804430466,0.026448638000147184,80,399,True,length
90,11.073,11.073406035999142,1.5588268829997105,ok,0.051339466001081746,0.019081724886066846,0.026473464000446256,80,410,True,length
91,11.129,11.129742375000205,1.5565466379994177,ok,0.05144026500056498,0.019051660974674874,0.026449106000654865,80,394,True,length
92,11.165,11.166217378999136,1.5625743599994166,ok,0.059575614001005306,0.019024991430365224,0.0264181960010319,80,381,True,length
93,11.184,11.184482144999492,1.560509617000207,ok,0.06178309000097215,0.01897093158227626,0.02641716499965696,80,369,True,length
94,11.202,11.20314107899867,1.5594975299991347,ok,0.056045379000352114,0.019030721126587713,0.02630511099960131,80,376,True,length
95,11.239,11.240053558998625,1.570193981000557,ok,0.060089473001426086,0.01911492870885347,0.02641787999891676,80,589,True,length
96,11.312,11.31261609899957,1.5832349289994454,ok,0.06854783199923986,0.019172929189867145,0.026419588999488042,80,431,True,length
97,11.331,11.333621542999026,1.5778076910009986,ok,0.06951958699937677,0.01909196394937473,0.02641897700050322,80,422,True,length
98,11.367,11.36799149899889,1.5678158270002314,ok,0.058016553999550524,0.0191110947848238,0.026418985000418616,80,432,True,length
99,11.386,11.386738760998924,1.5649675209988345,ok,0.05448303899902385,0.019119786367096086,0.026417656999910832,80,423,True,length
100,11.422,11.422427606999918,1.5649964259991975,ok,0.0595304889993713,0.019056236443029315,0.026418921999720624,80,404,True,length
101,11.551,11.551311530998646,1.5583971830001246,ok,0.05859026299913239,0.01898458839241357,0.026386625000668573,80,351,True,length
102,11.643,11.643775720000122,1.5682491429997754,ok,0.06819111499862629,0.01898772732912923,0.026136705000681104,80,469,True,length
103,11.661,11.66181979599969,1.5676558570012276,ok,0.06535969000105979,0.019016068063299113,0.02644674700059113,80,458,True,length
