timestamp_s,prompt_length,max_new_tokens,second,index_in_second
24.155000,61,80,68,5
24.226000,67,80,68,6
24.296000,78,80,68,7
24.380000,115,80,68,8
24.416000,92,80,68,9
24.428000,108,80,68,10
24.463000,82,80,68,11
24.475000,85,80,68,12
24.487000,78,80,68,13
24.498000,86,80,68,14
24.522000,55,80,68,15
24.593000,77,80,68,16
24.617000,72,80,68,17
24.629000,43,80,68,18
24.677000,118,80,68,19
24.748000,96,80,68,20
24.795000,80,80,68,21
24.818000,37,80,68,22
24.902000,75,80,68,23
25.095000,7,80,69,0
25.119000,94,80,69,1
25.190000,85,80,69,2
25.202000,48,80,69,3
25.214000,72,80,69,4
25.226000,67,80,69,5
25.296000,99,80,69,6
25.356000,90,80,69,7
25.368000,41,80,69,8
25.404000,98,80,69,9
25.416000,72,80,69,10
25.440000,82,80,69,11
25.487000,153,80,69,12
25.498000,106,80,69,13
25.510000,143,80,69,14
25.557000,92,80,69,15
25.641000,95,80,69,16
25.665000,135,80,69,17
25.689000,61,80,69,18
25.701000,95,80,69,19
25.712000,107,80,69,20
25.724000,134,80,69,21
25.748000,68,80,69,22
25.783000,82,80,69,23
25.795000,124,80,69,24
25.807000,61,80,69,25
25.830000,120,80,69,26
25.842000,100,80,69,27
25.890000,94,80,69,28
25.926000,45,80,69,29
25.938000,85,80,69,30
26.000000,36,80,70,0
26.076000,107,80,70,1
26.088000,69,80,70,2
26.189000,68,80,70,3
26.240000,68,80,70,4
26.278000,83,80,70,5
26.290000,90,80,70,6
26.303000,55,80,70,7
26.366000,59,80,70,8
26.404000,77,80,70,9
26.416000,112,80,70,10
26.429000,50,80,70,11
26.442000,61,80,70,12
26.492000,114,80,70,13
26.504000,63,80,70,14
26.542000,58,80,70,15
26.580000,56,80,70,16
26.605000,42,80,70,17
26.618000,77,80,70,18
26.656000,62,80,70,19
26.669000,118,80,70,20
26.681000,96,80,70,21
26.694000,142,80,70,22
26.706000,138,80,70,23
26.744000,15,80,70,24
26.757000,96,80,70,25
26.795000,134,80,70,26
26.820000,109,80,70,27
26.833000,34,80,70,28
26.896000,121,80,70,29
26.908000,89,80,70,30
27.076000,74,80,71,0
27.101000,57,80,71,1
27.138000,84,80,71,2
27.189000,119,80,71,3
27.227000,72,80,71,4
27.240000,105,80,71,5
27.265000,54,80,71,6
27.278000,44,80,71,7
27.290000,82,80,71,8
27.303000,118,80,71,9
27.315000,61,80,71,10
27.340000,59,80,71,11
27.391000,108,80,71,12
27.404000,98,80,71,13
27.416000,123,80,71,14
27.467000,60,80,71,15
27.492000,87,80,71,16
27.504000,108,80,71,17
27.555000,76,80,71,18
27.631000,74,80,71,19
27.681000,34,80,71,20
27.757000,111,80,71,21
27.769000,60,80,71,22
27.795000,97,80,71,23
27.807000,66,80,71,24
27.820000,109,80,71,25
27.871000,68,80,71,26
27.883000,46,80,71,27
27.933000,80,80,71,28
28.040000,86,80,72,0
28.054000,44,80,72,1
28.121000,74,80,72,2
28.148000,13,80,72,3
28.242000,59,80,72,4
28.269000,57,80,72,5
28.283000,72,80,72,6
28.310000,92,80,72,7
28.323000,56,80,72,8
28.350000,86,80,72,9
28.431000,129,80,72,10
28.511000,84,80,72,11
28.525000,102,80,72,12
28.538000,31,80,72,13
28.578000,81,80,72,14
28.592000,148,80,72,15
28.605000,72,80,72,16
28.673000,64,80,72,17
28.794000,88,80,72,18
28.875000,68,80,72,19
28.888000,69,80,72,20
28.929000,94,80,72,21
29.027000,116,80,73,0
29.040000,1,80,73,1
29.067000,37,80,73,2
29.080000,20,80,73,3
29.094000,59,80,73,4
29.108000,109,80,73,5
29.148000,23,80,73,6
29.162000,67,80,73,7
29.256000,73,80,73,8
29.269000,95,80,73,9
29.310000,65,80,73,10
29.336000,63,80,73,11
29.363000,101,80,73,12
29.377000,86,80,73,13
29.390000,120,80,73,14
29.404000,71,80,73,15
29.444000,82,80,73,16
29.458000,114,80,73,17
29.485000,50,80,73,18
29.511000,79,80,73,19
29.538000,61,80,73,20
29.551000,53,80,73,21
29.578000,49,80,73,22
29.633000,74,80,73,23
29.821000,88,80,73,24
29.834000,113,80,73,25
29.848000,106,80,73,26
29.875000,35,80,73,27
29.902000,109,80,73,28
30.013000,88,80,74,0
30.040000,52,80,74,1
30.108000,81,80,74,2
30.148000,35,80,74,3
30.162000,65,80,74,4
30.202000,52,80,74,5
30.215000,65,80,74,6
30.323000,119,80,74,7
30.336000,58,80,74,8
30.418000,39,80,74,9
30.458000,118,80,74,10
30.498000,71,80,74,11
30.511000,94,80,74,12
30.619000,113,80,74,13
30.686000,61,80,74,14
30.700000,121,80,74,15
30.727000,54,80,74,16
30.767000,67,80,74,17
30.808000,109,80,74,18
30.821000,93,80,74,19
30.848000,107,80,74,20
30.875000,86,80,74,21
30.902000,72,80,74,22
30.915000,90,80,74,23
31.000000,59,80,75,0
